task,model_type,train_rmse,test_rmse,train_mae,test_mae,train_r2,test_r2,cv_r2_mean,cv_r2_std
regression,ExtraTrees,4.3249212313906586e-11,1.1402548381494348,9.463655598712002e-13,0.6222441110514122,1.0,0.9946302613731774,0.9942352438908575,0.00021592860339857828
regression,RandomForest,0.48670272434618356,1.2871749531109729,0.2465608637141909,0.6432875223722686,0.9990185919244081,0.9931573478936851,0.9922464089000137,0.001299887375306842
